,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
459,2.0745765,48.7063705997652,Missing,78575,Saint-Rémy-lès-Chevreuse,library,Dépôt à livres,POINT (2.0745765 48.7063705997652),[9004 9005 9130 9131 9256 9257]
460,2.221949,48.8431679997312,Missing,92064,Saint-Cloud,library,Dépôt à livres,POINT (2.221949 48.8431679997312),[11131 11132 11257 11258 11383]
461,2.3248728,48.8233536997361,Missing,75056,Paris,library,Dépôt à livres,POINT (2.3248728 48.8233536997361),[12519 12520 12645 12646 12771 12772]
462,2.3188387,48.8247584997358,Missing,75056,Paris,library,Dépôt à livres,POINT (2.3188387 48.8247584997358),[12393 12519 12520 12645 12646]
463,2.2777939,48.8121351997389,Missing,92046,Malakoff,library,Dépôt à livres,POINT (2.2777939 48.8121351997389),[11890 11891 12016 12017 12143]
464,2.3941318,48.7120097997637,Médiathèque Simone de Beauvoir,91027,Athis-Mons,library,Médiathèque,POINT (2.3941318 48.7120097997637),[13540 13665 13666 13792]
465,2.0668224,48.698777699767,Missing,78575,Saint-Rémy-lès-Chevreuse,library,Dépôt à livres,POINT (2.0668224 48.698777699767),[8879 9005 9006 9131 9132]
466,2.5669859,48.602031799791,Médiathèque Jacques Prévert,77445,Savigny-le-Temple,library,Médiathèque,POINT (2.5669859 48.602031799791),[15946 16072 16073 16198]
467,2.5444869,48.8107845997393,Médiathèque Gérard Philippe,94017,Champigny-sur-Marne,library,Médiathèque,POINT (2.5444869 48.8107845997393),[15545 15670 15671 15796 15797]
468,2.3855166,48.6998898997668,Médiathèque du Val,91027,Athis-Mons,library,Médiathèque,POINT (2.3855166 48.6998898997668),[13415 13416 13541 13542 13667]
469,2.0702453,48.7032162997659,Missing,78575,Saint-Rémy-lès-Chevreuse,library,Dépôt à livres,POINT (2.0702453 48.7032162997659),[9005 9130 9131 9257]
470,2.3175191,48.8777272997226,Bibliothèque Europe,75056,Paris,library,Bibliothèque,POINT (2.3175191 48.8777272997226),[12387 12388 12513 12514 12639 12640]
471,2.3364756,48.8994634997172,Bibliothèque Jacqueline de Romilly,75056,Paris,library,Bibliothèque,POINT (2.3364756 48.8994634997172),[12637 12763 12764 12889]
472,2.2616635,48.7257561997603,Missing,91377,Massy,library,Dépôt à livres,POINT (2.2616635 48.7257561997603),[11648 11649 11774 11775 11900 11901]
473,2.1919642,48.8913637997193,Missing,92050,Nanterre,library,Dépôt à livres,POINT (2.1919642 48.8913637997193),[10622 10747 10748 10874]
