,X,Y,ATM/Agence,com_insee,com_nom,Type,Type_détaillé,geometry,0
3965,2.6551603,48.7910083997441,atm,77390,Roissy-en-Brie,banque,CIC,POINT (2.6551603 48.7910083997441),[17185 17311 17312 17437]
3966,2.6551442,48.7900004997444,atm,77390,Roissy-en-Brie,banque,Banque Postale,POINT (2.6551442 48.7900004997444),[17185 17186 17311 17312 17437]
3967,2.0638115,48.8006847997418,atm,78545,Saint-Cyr-l'École,banque,,POINT (2.0638115 48.8006847997418),[8868 8994 8995 9120]
3968,2.0674032,48.7985547997423,atm,78545,Saint-Cyr-l'École,banque,,POINT (2.0674032 48.7985547997423),[8868 8994 8995 9120 9121]
3969,2.5333343,48.76735069975,atm,94071,Sucy-en-Brie,banque,Société Générale,POINT (2.5333343 48.76735069975),[15424 15549 15550 15675 15676]
3970,2.5217371,48.7705619997492,atm,94071,Sucy-en-Brie,banque,CIC,POINT (2.5217371 48.7705619997492),[15297 15298 15423 15424 15549 15550]
3971,2.5197892,48.771650499749,atm,94071,Sucy-en-Brie,banque,Banque Postale,POINT (2.5197892 48.771650499749),[15297 15298 15423 15424 15549]
3972,2.5185098,48.7725453997487,bank,94071,Sucy-en-Brie,banque,BNP Paribas,POINT (2.5185098 48.7725453997487),[15297 15298 15423 15424 15549]
3973,2.511532,48.7786382997472,bank,94071,Sucy-en-Brie,banque,,POINT (2.511532 48.7786382997472),[15170 15171 15296 15297 15422 15423]
3974,2.3178938,48.8767156997229,atm,75056,Paris,banque,,POINT (2.3178938 48.8767156997229),[12388 12513 12514 12639 12640]
3975,2.3179268,48.8767710997229,bank,75056,Paris,banque,CIC,POINT (2.3179268 48.8767710997229),[12388 12513 12514 12639 12640]
3976,2.281589,48.8388223997323,bank,75056,Paris,banque,Société Générale,POINT (2.281589 48.8388223997323),[11888 12013 12014 12139 12140]
3977,2.7095917,48.8380509997325,bank,77058,Bussy-Saint-Georges,banque,CIC,POINT (2.7095917 48.8380509997325),[17936 18061 18062 18188]
3978,2.7116288,48.8376401997326,bank,77058,Bussy-Saint-Georges,banque,Crédit Mutuel,POINT (2.7116288 48.8376401997326),[17936 18061 18062 18188]
3979,2.7658933,48.8534782997287,atm,77307,Montévrain,banque,CIC,POINT (2.7658933 48.8534782997287),[18690 18816 18817 18942]
3980,2.7101952,48.8393432997322,bank,77058,Bussy-Saint-Georges,banque,Caisse d'Epargne,POINT (2.7101952 48.8393432997322),[17935 17936 18061 18062 18188]
3981,2.7465721,48.8755449997232,atm,77307,Montévrain,banque,Banque Postale,POINT (2.7465721 48.8755449997232),[18435 18436 18561 18562 18687 18688]
3982,2.7742001,48.8564612997279,atm,77111,Chessy,banque,Crédit Agricole,POINT (2.7742001 48.8564612997279),[18816 18941 18942 19068]
3983,2.7717994,48.8552201997282,atm,77111,Chessy,banque,HSBC,POINT (2.7717994 48.8552201997282),[18816 18941 18942 19068]
3984,2.7734095,48.856092899728,bank,77111,Chessy,banque,CIC,POINT (2.7734095 48.856092899728),[18816 18941 18942 19068]
3985,2.7648955,48.8788839997224,bank,77111,Chessy,banque,CIC,POINT (2.7648955 48.8788839997224),[18687 18688 18813 18814 18939 18940]
3986,2.8296223,48.8135378997386,atm,77508,Villeneuve-le-Comte,banque,Société Générale,POINT (2.8296223 48.8135378997386),[19576 19577 19702 19703 19828 19829]
3987,2.7763331,48.8555866997281,atm,77449,Serris,banque,Crédit Mutuel,POINT (2.7763331 48.8555866997281),[18816 18941 18942 19068]
3988,2.7764913,48.8556476997281,bank,77449,Serris,banque,Crédit Mutuel,POINT (2.7764913 48.8556476997281),[18816 18941 18942 19068]
3989,2.7744582,48.8555108997282,bank,77449,Serris,banque,BNP Paribas,POINT (2.7744582 48.8555108997282),[18816 18941 18942 19068]
3990,2.774068,48.8543514997285,atm,77449,Serris,banque,Société Générale,POINT (2.774068 48.8543514997285),[18816 18942 18943 19068]
3991,2.5898142,48.9037463997162,atm,77108,Chelles,banque,CIC,POINT (2.5898142 48.9037463997162),[16290 16291 16416 16417]
3992,2.5891107,48.9036659997162,atm,77108,Chelles,banque,Banque Postale,POINT (2.5891107 48.9036659997162),[16290 16291 16416 16417]
